comment,label,rate
vải đẹp  kiểu ih hình   rất hài lòng ,POS,5
màn hình to và khá là hd ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời nhưng hơi không vừa vì hơi rộng ,POS,5
san pham ok lm nha  cửa hàng  ,POS,4
uniqlo tuyệt vời ,POS,5
mỗi tội hơi ngắn so với mình  dài khoảng  nữa thì ok ,NEU,3
đóng gói sản phẩm rất đẹp và chắc chắn ,POS,4
kém chất luọng ,NEG,1
mua  cỡ  s giao  cỡ  l mác thì  cỡ  s mác ở quần thì  cỡ  l bán hàng thế này là cố tình nhầm  cỡ  mọi người xem sét trước khi mua  cửa hàng  này nhé ,NEG,2
dép nhẹ  mang êm chân  giao hành nhanh  tuy nhiên hộp bị móp méo ,POS,4
đã nhận  được  hàng và khá ưng với  sản phẩm  ,POS,4
áo đẹp ,NEU,3
chỉ tội nhận hàng hơi lâu ,NEG,2
 chất  luong ao rat tốt  mac rat miem mai rat thich chất lượng sản phẩm tuyệt vời ,POS,5
hàng thô nhăn ,NEG,1
áo làm bằng vải voan cát tương đối thô ráp  mặc cọ vào ng rất khó chịu  form áo đẹp nhưng vải thì chán quá ,NEG,2
túi đẹp lắm ạ  không mua tiếc lắm mọi người ơi      positive  ,POS,5
sẽ ủng hộ  cửa hàng   positive  ,POS,5
đóng gói sản phẩm rất đẹp và chắc chắn  sản phẩm  y hình ,POS,5
vày này khỏi chê nha mấy bạn  ,POS,5
áo ngắn quá cao  thì măc đep ,NEU,3
chất lượng sản phẩm tuyệt vời ,POS,5
chất lượg rất tệ mới mặc đã đứt quai  cỡ   nhưg nhỏ bằg cỡ  áo  bình thường  mặc chật ,NEG,1
 sản phẩm  tạp được  đóng gói sản phẩm rất đẹp và chắc chắn ,POS,4
chất lượng sản phẩm tốt  tuy nhiên giao hàng quá cao mình đặt tổng đơn hàng gần   giao hàng tới  giảm  mình thấy vẫn còn cao  trong khi các  cửa hàng  khác tốn giao hàng đã giảm còn  ,NEU,3
ko ưng hay không vừa cỡ  cửa hàng  cho đổi sang cỡ khác ,NEG,2
rất đáng tiền thời gian giao hàng rất nhanh ,POS,5
thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh  cửa hàng  phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn ,POS,5
sản phẩm không có nhãn mác  miếng tag ngay cổ áo cũng bị cắt mất            ,NEG,1
sẽ ủng hộ lâu dài  positive  positive  positive  ,POS,5
áo đẹp mềm mịn độn vừa phải rất ưng ,POS,5
 quá rning anh em giặt riêng  lần nước với áo màu nếu không muốn bị lây màu ,POS,5
nhưng giao hàng nhanh ,POS,4
 cửa hàng  phục vụ rất tốt ,POS,5
